Project,Group,Connections,Twitter,Image,Popup
Global Unity,#FFCC00,2,globalunityorg,https://pbs.twimg.com/profile_images/1258598799104147458/MHRV9sdf_normal.jpg,"<strong>globalunityorg</strong> | <a href=""https://twitter.com/globalunityorg"">@globalunityorg</a><p>Everyone for everyone. </p>"
Grassroots Economics,#4D82C1,13,grassecon,https://pbs.twimg.com/profile_images/1522094260916559874/z6pGAL9-_normal.jpg,"<strong>Grassroots Economics</strong> | <a href=""https://twitter.com/grassEcon"">@grassEcon</a><p>Empowerment through Community Inclusion Currencies </p><a href=""https://t.co/GzyGNTzodh"">grassrootseconomics.org</a>"
GreenClimateDAO,#02E2AC,2,greenclimatedao,https://pbs.twimg.com/profile_images/1508832032322895878/hRtw4eTD_normal.jpg,"<strong>GreenClimateDAO</strong> | <a href=""https://twitter.com/GreenClimateDAO"">@GreenClimateDAO</a><p>Harnesses the power of the crowd to fight #ClimateChange through #blockchain and @Climatecoin Climate balance: once and for all. Join the #community now! </p><a href=""https://t.co/7VJnHZ9gxF"">climatecoin.com</a>"
Grow Your Own Cloud,#FFCC00,6,_gyoc,https://pbs.twimg.com/profile_images/1049744592596172800/Sjcjq22N_normal.jpg,"<strong>Grow Your Own Cloud (🧬,🌱)</strong> | <a href=""https://twitter.com/_GYOC"">@_GYOC</a><p>Storing your Data Nature's way 🌿⁣ ⁣<br>⁣In #DNA 🧬<br>Bridging Web3 and Web🌳<br>🌍<br><br>Founded by @cyrusclarke and @seyfriedmonika </p><a href=""https://t.co/1ewfPDRqEY"">growyourown.cloud</a>"
GrüenDAO,#02E2AC,14,gruendao,https://pbs.twimg.com/profile_images/1495693727687671811/e3Zf630d_normal.jpg,"<strong>GrüenDao</strong> | <a href=""https://twitter.com/GruenDao"">@GruenDao</a><p>Forming a #Decentralized Carbon Currency Reserve System <br><br>Create more effective #climateaction<br><br>#NodeArmy #Refi #Defi #Web3 #blockchain #whitelist #ohm </p><a href=""https://t.co/u9DS05AM40"">linktr.ee/grundao</a>"
HumanDAO,#02E2AC,6,humandao,https://pbs.twimg.com/profile_images/1486566824414257153/DXadf9Sv_normal.jpg,"<strong>humanDAO | NFT + Utility = Pocket Assistants</strong> | <a href=""https://twitter.com/humanDAO"">@humanDAO</a><p>Improving lives through crypto with education & opportunities in web3/metaverse. When you hodl, stake or use $HDAO you’re helping underserved communities🤝 </p><a href=""https://t.co/vyeX0WSUrf"">humandao.org</a>"
Impact,#FFCC00,14,impact_xyz,https://pbs.twimg.com/profile_images/1454936406501982214/io-yy6DB_normal.jpg,"<strong>Impact</strong> | <a href=""https://twitter.com/Impact_xyz"">@Impact_xyz</a><p>MINTING NOW in support of @keepabreast. NFT fundraising platform for charity - 95% of funds  to the cause.<br><br>Discord: https://t.co/ltgRrpWU7c </p><a href=""https://t.co/K7PDUmkdN9"">impactapp.xyz</a>"
Kernel,#F3587D,31,kernel0x,https://pbs.twimg.com/profile_images/1370056971592757248/-aY-VlJK_normal.jpg,"<strong>KERNEL</strong> | <a href=""https://twitter.com/KERNEL0x"">@KERNEL0x</a><p>it all starts with a KERNEL 🌱 a @gitcoin project </p><a href=""https://t.co/rcmtKeKu23"">kernel.community/en/start/</a>"
Kleros,#FFCC00,12,kleros_io,https://pbs.twimg.com/profile_images/897538206287179777/lRmXoLeB_normal.jpg,"<strong>Kleros</strong> | <a href=""https://twitter.com/Kleros_io"">@Kleros_io</a><p>A decentralized arbitration protocol for disputes in the #web3 economy.<br><br>We're Hiring!<br>https://t.co/R0pFNn2wVi<br><br>$PNK | https://t.co/FaA0UrJWZR </p><a href=""https://t.co/ITvgdvnN5r"">kleros.io</a>"
KlimaDAO,#02E2AC,55,klimadao,https://pbs.twimg.com/profile_images/1478155147649953799/7hlpmj4N_normal.jpg,"<strong>KlimaDAO (🌳,🌳)</strong> | <a href=""https://twitter.com/KlimaDAO"">@KlimaDAO</a><p>Introducing $KLIMA — an algorithmic carbon-backed cryptocurrency (🌳,🌳) #ReFi<br>Join our community of 🦍 Klimates:<br>https://t.co/DHXgR0rDTE </p><a href=""https://t.co/CAyyLdhNzm"">klimadao.finance</a>"
Kokonut Network,#02E2AC,58,kokonutnetwork,https://pbs.twimg.com/profile_images/1491193466893836291/tyGH_soe_normal.jpg,"<strong>Kokonut Network DAO</strong> | <a href=""https://twitter.com/KokonutNetwork"">@KokonutNetwork</a><p>Building the infrastructure to connect Web3 with Agriculture<br>1 Kokonut DAO Share = 1 REAL Coconut Plant FOREVER🥥🌴<br>Only 60,000 Shares For Kokonut v1 Join Us 🤗 </p><a href=""https://t.co/mfwyPm6tuj"">linktr.ee/kokonutnetwork</a>"
Kolektivo,#FFCC00,34,kolektivo,https://pbs.twimg.com/profile_images/1527245286250250240/c1RTFDkW_normal.jpg,"<strong>Kolektivo</strong> | <a href=""https://twitter.com/Kolektivo"">@Kolektivo</a><p>Creating a Framework for Local Regenerative Economies #ReFi 🍃<br><br>Launching the first MVP in Q4 2021 on @CeloOrg in #Curaçao </p><a href=""https://t.co/0IyXJmTe10"">kolektivo.co</a>"
Kumo Earth,#02E2AC,5,kumo_dao,https://pbs.twimg.com/profile_images/1483701117632528385/cT_EA2SQ_normal.jpg,"<strong>Kumo</strong> | <a href=""https://twitter.com/Kumo_DAO"">@Kumo_DAO</a><p>Building the 1st StableCoin 100% Backed by Nature Assets<br>Peg to USD - Launch on Polygon Q3 2022<br>Raising #SeedRound<br> <br>Let's turn money into Climate Action </p><a href=""https://t.co/02cWHJ4k77"">linktr.ee/kumo.earth</a>"
LOA Labs,#02E2AC,49,loa_labs,https://pbs.twimg.com/profile_images/1469211321082126336/DqzqzjaP_normal.jpg,"<strong>LOA Labs</strong> | <a href=""https://twitter.com/loa_labs"">@loa_labs</a><p>Network Growth Partner for Better World Blockchains - marketing/comms, community, strategy, tokens  🌌  Validator for $REGEN, $JUNO, $IXO, $GRAV, $BCNA </p><a href=""https://t.co/prvPDDW5In"">loalabs.io</a>"
LabDAO,#F3587D,13,lab_dao,https://pbs.twimg.com/profile_images/1492164455840423940/uSPUItUM_normal.jpg,"<strong>LabDAO 💚🥼</strong> | <a href=""https://twitter.com/lab_dao"">@lab_dao</a><p>the future of biomedical science is an open, community-run network of wet & dry laboratories 🧑‍🔬https://t.co/waTfGuj0AW - we are pre-launch </p><a href=""https://t.co/9Jz9XF6TGd"">linktr.ee/LabDAO</a>"
LaborDAO,#4D82C1,2,thelabordao,https://pbs.twimg.com/profile_images/1495543237544710145/CHYRkGuD_normal.jpg,"<strong>TheLaborDAO</strong> | <a href=""https://twitter.com/thelabordao"">@thelabordao</a><p>The first decentralized community to fund workers who want to organize, strike and collectively bargain. <br><br>Discord: https://t.co/514Vd7amqW </p><a href=""https://t.co/cLW0WuI6KZ"">TheLaborDAO.com</a>"
Leyline,#F3587D,5,leylinenp,https://pbs.twimg.com/profile_images/1417107314885074952/inpL5nPO_normal.jpg,"<strong>Leyline - NFTs for Good</strong> | <a href=""https://twitter.com/leylinenp"">@leylinenp</a><p>We mint NFT art and collectibles through acts of altruism. Serving impoverished communities and NGOs around the world. https://t.co/y4P10oRhSr BAYC#9483 </p><a href=""https://t.co/fhyE5Nbq5M"">linktr.ee/p_o_e_t</a>"
Longtail Financial,#FFCC00,30,longtailfintech,https://pbs.twimg.com/profile_images/1448425192611479555/8_VK3mwZ_normal.jpg,"<strong>Longtail Financial ♨️</strong> | <a href=""https://twitter.com/LongTailFinTech"">@LongTailFinTech</a><p>Longtail Financial provides financial data science and token engineering services to help organizations build and optimize crypto-economic systems. </p><a href=""https://t.co/ix6hvyzrWl"">longtailfinancial.com</a>"
Lynx,#F3587D,8,lynx_technology,https://pbs.twimg.com/profile_images/1502309313762803719/PMmuj74D_normal.jpg,"<strong>LYNX</strong> | <a href=""https://twitter.com/LYNX_Technology"">@LYNX_Technology</a><p>North Star: Combine data from wearables to gain advanced insights into your individual health and wellbeing. Create and own your biometric clone with LYNX. </p><a href=""https://t.co/P9Qs7OSJio"">phas3.io/LYNX</a>"
MOONJELLY,#02E2AC,36,wearemoonjelly,https://pbs.twimg.com/profile_images/1401629295248764928/3ahETmp2_normal.jpg,"<strong>Moonjelly 🌊</strong> | <a href=""https://twitter.com/wearemoonjelly"">@wearemoonjelly</a><p>A community of proven pioneers within ocean impact, science, storytelling, and web3 on a mission to decentralize and decolonise ocean conservation. #DeCon </p><a href=""https://t.co/FWApCFSFWY"">moonjelly.io</a>"
Menthol Protocol,#02E2AC,27,mentholprotocol,https://pbs.twimg.com/profile_images/1443546246728323078/Y5cMaToi_normal.jpg,"<strong>Menthol Protocol (is Hiring)</strong> | <a href=""https://twitter.com/MentholProtocol"">@MentholProtocol</a><p>Menthol Protocol is the first multichain decentral sustainability ecosystem. Cool the world one tx at a time! Soon we'll close our seed round led by Republic! </p><a href=""https://t.co/ptwaAVmfpM"">linktr.ee/mentholprotocol</a>"
Mercy Corps Ventures FinX,#4D82C1,9,mcsocialventure,https://pbs.twimg.com/profile_images/1435274463717871620/qNE1kP0a_normal.jpg,"<strong>Mercy Corps Ventures</strong> | <a href=""https://twitter.com/MCSocialVenture"">@MCSocialVenture</a><p>Fueling high-impact ventures from seed to scale.<br><br>LinkedIn https://t.co/rI23d0tNIg | Newsletter https://t.co/DZwkSCsz1l </p><a href=""https://t.co/vv4K32NGiV"">mercycorps.org/what-we-do/ven…</a>"
Meta Gamma Delta DAO ,#F3587D,17,metagammadelta,https://pbs.twimg.com/profile_images/1501324066619224064/S0iRdGzQ_normal.jpg,"<strong>META GAMMA DELTA DAO</strong> | <a href=""https://twitter.com/metagammadelta"">@metagammadelta</a><p>Inclusive ⚡️ Empowering ⚡️ Decentralized ⚡️ MGD DAO supports women-led projects in the blockchain space through grants. Join us! </p><a href=""https://t.co/OWOwZu9zUC"">discord.com/invite/ewqXEvc…</a>"
Molecule,#F3587D,26,molecule_dao,https://pbs.twimg.com/profile_images/1509626029773623316/HdZ-NvkM_normal.jpg,"<strong>Molecule</strong> | <a href=""https://twitter.com/Molecule_dao"">@Molecule_dao</a><p>A decentralised biotech protocol porting IP into web3 and launching biotech DAOs like @vita_dao and @PsyDAO_<br> <br>🧪 we're hiring 👩‍🔬<br><br>Discord: https://t.co/gbCSbXf0Oh </p><a href=""https://t.co/Mb55cDFvXU"">molecule.to</a>"
NFTree Haus,#02E2AC,10,nftreehaus,https://pbs.twimg.com/profile_images/1478588578380726273/iVHiGbiB_normal.jpg,"<strong>NFTree Haus (🌱,🌱)</strong> | <a href=""https://twitter.com/nftreehaus"">@nftreehaus</a><p>1 NFTree = 1 City Tree </p><a href=""https://t.co/IbEKiYI6bM"">linktr.ee/nftreehaus</a>"
Nectar Protocol,#F3587D,2,nectarprotocol,https://pbs.twimg.com/profile_images/1448800639308509185/xjae91MB_normal.jpg,"<strong>Nectar Protocol</strong> | <a href=""https://twitter.com/NectarProtocol"">@NectarProtocol</a><p>zkRollup & decentralized file storage protocol for the $7T health industry. first app @shyrohealth by @tamarinhealth Female founded. #L222 </p><a href=""https://t.co/qzVfQTlFea"">linktr.ee/tamarinhealth</a>"
Nori,#02E2AC,15,nori,https://pbs.twimg.com/profile_images/1490772408755634177/xu0QpGfG_normal.jpg,"<strong>Nori</strong> | <a href=""https://twitter.com/nori"">@nori</a><p>Nori is a blockchain-backed carbon removal marketplace est. in 2017.<br>Stay updated on the NORI token launch 👉 https://t.co/th4tPnr64C </p><a href=""https://t.co/XT6qdHgqUK"">nori.com</a>"
OCEAN Protocol,#F3587D,6,oceandao_,https://pbs.twimg.com/profile_images/1403113745551925249/uDnhMK0J_normal.jpg,"<strong>OceanDAO</strong> | <a href=""https://twitter.com/OceanDAO_"">@OceanDAO_</a><p>Seeding the best @oceanprotocol ecosystem projects.<br><br>Home of batch grants (funding², earmarks), CoreTech/Outreach WG, data NFT labs, and soon: data farming 🌾🪄 </p><a href=""https://t.co/R3XRrZZgcU"">discord.gg/38wYfmwg</a>"
OpSci,#F3587D,22,opscientia,https://pbs.twimg.com/profile_images/1515915555919863810/fmO7POI0_normal.jpg,"<strong>OpSci</strong> | <a href=""https://twitter.com/opscientia"">@opscientia</a><p>an autonomous research community ⚡️ science needs a firmware update #DeSci </p><a href=""https://t.co/f0Fw3lYKyU"">opsci.io</a>"
Open Earth Foundation,#02E2AC,17,open__earth,https://pbs.twimg.com/profile_images/1503408762685698052/wNnuLV31_normal.jpg,"<strong>Open Earth Foundation</strong> | <a href=""https://twitter.com/Open__Earth"">@Open__Earth</a><p>A not for profit harnessing emerging digital technologies & radical collaboration to innovate, deploy & scale concrete systemic solutions at a planetary level </p><a href=""https://t.co/8cnX1vOxRN"">openearth.org</a>"
Open Forest Protocol ,#02E2AC,40,openforest_,https://pbs.twimg.com/profile_images/1501195924768534528/0QgebLXH_normal.jpg,"<strong>Open Forest Protocol (OFP)</strong> | <a href=""https://twitter.com/OpenForest_"">@OpenForest_</a><p>The Open Forest Protocol is a trusted open-source Protocol based on a public blockchain platform for communal verification and reporting of forest data🌲 </p><a href=""https://t.co/2Je4LmY2SI"">linktr.ee/openforestprot…</a>"
OpenAccessDAO,#F3587D,4,openaccessdao,https://pbs.twimg.com/profile_images/1468371149729927171/GsKVA0vr_normal.jpg,"<strong>OpenAccessDAO</strong> | <a href=""https://twitter.com/OpenAccessDAO"">@OpenAccessDAO</a><p>Making Science Open Access for all  (🆓,🆓) </p><a href=""https://t.co/XtiV433euN"">oadao.org</a>"
PR1S0N Art,#F3587D,13,pr1s0nart,https://pbs.twimg.com/profile_images/1500890212892819464/J6BhVCFT_normal.jpg,"<strong>pr1s0nart</strong> | <a href=""https://twitter.com/pr1s0nart"">@pr1s0nart</a><p>Digital art which pays back prisoner debt, restoring justice and the dignity of returning citizens<br>https://t.co/XVfGR93W1o </p><a href=""https://t.co/D6ppTm2Qd9"">pr1s0n.art</a>"
PactDAO,#4D82C1,6,pactdao,https://pbs.twimg.com/profile_images/1455023492064219136/vDVwQax0_normal.jpg,"<strong>pact</strong> | <a href=""https://twitter.com/pactDAO"">@pactDAO</a><p>Make a pact with the people of your city. A NYC-based DAO for mutual aid. </p><a href=""https://t.co/GdncLdub2M"">mirror.xyz/pactcollective…</a>"
Panvala,#FFCC00,22,panvalahq,https://pbs.twimg.com/profile_images/1432945984150155264/U3XNtqRo_normal.jpg,"<strong>Panvala 🍳</strong> | <a href=""https://twitter.com/PanvalaHQ"">@PanvalaHQ</a><p>Panvala is a network of communities who cooperate and earn perks from Panvala's shared endowment. We want to share Panvala with your community, too! </p><a href=""https://t.co/tV3NpnohOz"">panvala.com</a>"
Parcel.money,#F3587D,7,parcelhq,https://pbs.twimg.com/profile_images/1495678950235725824/F5vbYU64_normal.jpg,"<strong>Parcel</strong> | <a href=""https://twitter.com/parcelHQ"">@parcelHQ</a><p>PaymentOS for the Contributor Economy<br><br>https://t.co/ZWaSFGdBWW </p><a href=""https://t.co/bUG7kOFkWx"">parcel.money</a>"
PeopleDAO,#FFCC00,6,the_peopledao,https://pbs.twimg.com/profile_images/1463931234472509441/D0QThGaI_normal.jpg,"<strong>PeopleDAO (📜, 🤝)</strong> | <a href=""https://twitter.com/The_PeopleDAO"">@The_PeopleDAO</a><p>PeopleDAO is a metaDAO governed by $PEOPLE token. From the people, To the people, For the people. (📜,🤝). </p><a href=""https://t.co/yApnTmhLNM"">linktr.ee/peopledao</a>"
PizzaDAO,#FFCC00,5,pizza_dao,https://pbs.twimg.com/profile_images/1515442094109863936/d_5sTA7U_normal.jpg,"<strong>PizzaDAO.eth 🍕🏴‍☠️</strong> | <a href=""https://twitter.com/Pizza_DAO"">@Pizza_DAO</a><p>Tokenizing every pizzeria on Earth. @RarePizzas NFT minting now: https://t.co/EZ2i09upTO </p><a href=""https://t.co/MUZs2tiLVO"">rarepizzas.com</a>"
Planetary Resilience DAO,#F3587D,21,jessezondervan,https://pbs.twimg.com/profile_images/1442221827372331008/bDdtfhxI_normal.jpg,"<strong>Dr Jesse Zondervan 🌍🏔👨‍🔬 • Geologist</strong> | <a href=""https://twitter.com/JesseZondervan"">@JesseZondervan</a><p>Research Scientist @ROC_CO2 @UniofOxford • @wilbe_science #BSF6 Fellow • Editor @Geo_Dev • @ESEImperial alumnus • #SurfaceProcesses • Biogeoengineering • #DeSci </p><a href=""https://t.co/AW1R9OAuMO"">earth.ox.ac.uk/people/jesse-z…</a>"
Popcorn Network,#02E2AC,17,popcorn_dao,https://pbs.twimg.com/profile_images/1511703924146847757/7JVLOXNq_normal.jpg,"<strong>Popcorn</strong> | <a href=""https://twitter.com/Popcorn_DAO"">@Popcorn_DAO</a><p>🌍 Impact Made Easy 🌎<br><br>🧈 Earn noble yield with Butter https://t.co/fUE4u4fnJE <br><br>🍿 #DeFi4Good Discord: https://t.co/9Mr1VSPSb9 </p><a href=""https://t.co/llhcLMofoX"">popcorn.network</a>"
Pozzle Planet,#02E2AC,9,pozzleplanet,https://pbs.twimg.com/profile_images/1528610855511728128/87V-ZWOm_normal.jpg,"<strong>Pozzle Planet</strong> | <a href=""https://twitter.com/PozzlePlanet"">@PozzlePlanet</a><p>Pozzle Planet is an Impact-2-Earn NFT-protocol and mobile-app📱Earn $POZ by joining and sharing POZitive actions 💜🌍🌱 https://t.co/Zwhx1YAikv </p><a href=""https://t.co/bKAAyxAFOw"">pozzleplanet.com</a>"
PrimeDAO,#FFCC00,51,primedao_,https://pbs.twimg.com/profile_images/1399376178453090305/RJD82RrV_normal.jpg,"<strong>PrimeDAO (D2D)</strong> | <a href=""https://twitter.com/PrimeDAO_"">@PrimeDAO_</a><p>Building tools that turn DeFi into a cooperative ecosystem. #DAO2DAO products and services. </p><a href=""https://t.co/ZSmAAJh4WT"">prime.xyz</a>"
Project Ark,#02E2AC,23,weareprojectark,https://pbs.twimg.com/profile_images/1466469450912251916/9loneEs0_normal.jpg,"<strong>Project Ark</strong> | <a href=""https://twitter.com/WeAreProjectArk"">@WeAreProjectArk</a><p>Project Ark is a social-impact NFT platform, directly funding environmental conservation efforts around the world. <br>JOIN US:  https://t.co/69eid01UOO </p>"
Proof of Humanity,#FFCC00,15,proofofhumanity,https://pbs.twimg.com/profile_images/1380603982205321217/EuVE1qKL_normal.jpg,"<strong>Proof of Humanity</strong> | <a href=""https://twitter.com/proofofhumanity"">@proofofhumanity</a><p>Sybil-resistant registry of Humans using social verification + @Kleros_io courts. Streaming $UBI 💧 & building a decentralized democracy! </p><a href=""https://t.co/uRQpYh4hkf"">proofofhumanity.id</a>"
Proof of Integrity,#FFCC00,5,proof_integrity,https://pbs.twimg.com/profile_images/1479571988326715392/brDTz-ll_normal.jpg,"<strong>Proof Of Integrity</strong> | <a href=""https://twitter.com/proof_integrity"">@proof_integrity</a><p>Helping struggling communities to reduce poverty through financial training and crypto embracement. Powered by @beontechstudio. </p><a href=""https://t.co/qQKzd61M8F"">proofofintegrity.org</a>"
Protein Community,#FFCC00,53,protein,https://pbs.twimg.com/profile_images/1498963326621175811/-33yvad6_normal.jpg,"<strong>Protein (💚,🌱)</strong> | <a href=""https://twitter.com/protein"">@protein</a><p>Hello. We are Protein. A place where people and ideas grow. Powered by $PRTN </p><a href=""https://t.co/j8yKQTG0EJ"">discord.gg/protein</a>"
PsyDAO,#F3587D,7,psydao_,https://pbs.twimg.com/profile_images/1445490915284447247/FkxX31Om_normal.jpg,"<strong>PsyDAO</strong> | <a href=""https://twitter.com/PsyDAO_"">@PsyDAO_</a><p>PsyDAO is forming a decentralised organisation with the goal of funding research at the intersection of psychedelics and mental health. </p><a href=""https://t.co/Q0Pt74FrYK"">psydao.com</a>"
Public Good School,#FFCC00,4,publicgood_s,https://pbs.twimg.com/profile_images/1482443795438489609/odYydXDD_normal.png,"<strong>Public Good School 🌱</strong> | <a href=""https://twitter.com/PublicGood_S"">@PublicGood_S</a><p>We are growing innovative leaders 🌱<br><br>Public Good School is a center for Public Goods education, training, and activism.<br><br>Join us and help build a better world! </p>"
ReFi DAO,#4D82C1,78,refidaoist,https://pbs.twimg.com/profile_images/1495113844108234757/KIz-ugMM_normal.jpg,"<strong>ReFi DAO</strong> | <a href=""https://twitter.com/ReFiDAOist"">@ReFiDAOist</a><p>🌳 Scaling meaningful climate action with #web3. <br>❤️ Justice, Equity, Diversity and Inclusion<br>🙏 DM us your #ReFi story for an invite </p><a href=""https://t.co/uIaK1PyoS8"">refidao.com</a>"
Regen Network,#02E2AC,66,regen_network,https://pbs.twimg.com/profile_images/1531703353478066177/8zvqMFY2_normal.png,"<strong>Regen Network (Hiring!)</strong> | <a href=""https://twitter.com/regen_network"">@regen_network</a><p>Platform for a Thriving Planet 🌏 nothing less than planetary regeneration. #blockchain #drawdown | Built on @cosmos | #hiring </p><a href=""https://t.co/7NelV3XB8X"">regen.network</a>"
Return Protocol,#02E2AC,51,returnprotocol,https://pbs.twimg.com/profile_images/1486911107763781634/hK1LCOdh_normal.jpg,"<strong>Return</strong> | <a href=""https://twitter.com/ReturnProtocol"">@ReturnProtocol</a><p>Make your blockchain life automatically sustainable forever and show the world with one single click and payment 🌳<br><br>Launching in Q3 2022 🚀<br><br>#ReFi #DeFi #Web3 </p><a href=""https://t.co/QDR90qs3qy"">rb.gy/ogpmpv</a>"
Ribon,#F3587D,3,ribondao,https://pbs.twimg.com/profile_images/1414980075657781253/si45PDXk_normal.jpg,"<strong>RibonDAO</strong> | <a href=""https://twitter.com/RibonDAO"">@RibonDAO</a><p>+40k active users donation platform awarded by @gatesfoundation | Becoming the #DAO that will change the charity market | Join our community on: https://t.co/l6HnV1rTLJ </p><a href=""https://t.co/Ka2ZBxNLcT"">ribon.io/en</a>"
RnDAO,#4D82C1,2,RnDAO__,https://pbs.twimg.com/profile_images/1498337715661778946/7YEners2_normal.jpg,"<strong>RnDAO (🔍,✏️)</strong> | <a href=""https://twitter.com/RnDAO__"">@RnDAO__</a><p>empower<br>humane<br>collaboration </p><a href=""https://t.co/4XB82up7TF"">bit.ly/joinrndao</a>"
Socialstack,#FFCC00,9,trysocialstack,https://pbs.twimg.com/profile_images/1486017781757845509/QzZje9US_normal.jpg,"<strong>Socialstack</strong> | <a href=""https://twitter.com/trysocialstack"">@trysocialstack</a><p>the code-free social token platform that gives a damn  <br><br>free transactions. carbon negative. built on Celo, Polygon and Ethereum. </p><a href=""https://t.co/baR4n068hs"">socialstack.co</a>"
Solid World DAO,#02E2AC,48,solidworlddao,https://pbs.twimg.com/profile_images/1489284392992264197/24jk55_T_normal.jpg,"<strong>Solid World DAO</strong> | <a href=""https://twitter.com/solidworlddao"">@solidworlddao</a><p>A Web3 protocol that is funding the future of planet Earth<br><br>Discord: https://t.co/qvfTSBZiFz<br>Telegram: https://t.co/NHKuoH1LJt </p><a href=""https://t.co/eusLnuOYVM"">solid.world</a>"
SolidarityCard,#FFCC00,8,solcardorg,https://pbs.twimg.com/profile_images/1457895697697619973/KvjphzvC_normal.jpg,"<strong>SolidarityCard</strong> | <a href=""https://twitter.com/solcardorg"">@solcardorg</a><p>SolidarityCard humanizes and supports people in need through authentic conversations and transparent donations. 🌱 @KERNEL0x #KB5 </p><a href=""https://t.co/fB5cGclFgt"">solcard.org</a>"
Sovereign Nature Initiative,#02E2AC,35,sovereignnature,https://pbs.twimg.com/profile_images/1140680058698383360/1tGYV9Ni_normal.png,"<strong>Sovereign Nature Initiative</strong> | <a href=""https://twitter.com/sovereignnature"">@sovereignnature</a><p>Reconfiguring the intersection between ecology, economy, and emerging technologies 🌍💡🌿 </p><a href=""https://t.co/fVl7VOtIBs"">sovereignnature.com</a>"
Spark Eco,#02E2AC,38,spark_eco,https://pbs.twimg.com/profile_images/1469331578220388362/iIJKpz5t_normal.jpg,"<strong>☀️ Spark Eco 🌳</strong> | <a href=""https://twitter.com/spark_eco"">@spark_eco</a><p>https://t.co/7ACv7RLPDd is funding solar in emerging markets with crypto. Pilot project crowdfunding coming. Join the adventure: https://t.co/hQYZso8xtb </p><a href=""https://t.co/7SlS3TYMto"">gitcoin.co/grants/4883/de…</a>"
SuperBenefit,#4D82C1,3,superbenefitdao,https://pbs.twimg.com/profile_images/1501683292252381184/ol7vN85__normal.jpg,"<strong>SuperBenefit</strong> | <a href=""https://twitter.com/SuperBenefitDAO"">@SuperBenefitDAO</a><p>Making better happen faster. </p><a href=""https://t.co/SmAxGrrqFE"">superbenefit.org</a>"
Surge Women,#F3587D,19,surge_women,https://pbs.twimg.com/profile_images/1453433842077818883/VZcpMbbl_normal.jpg,"<strong>Surge</strong> | <a href=""https://twitter.com/surge_women"">@surge_women</a><p>A female-led organization educating and securing womxn’s place in Web3- 5000 Passport NFTs on Opensea ❤️ https://t.co/G0jz7ryet6 </p><a href=""https://t.co/h2cvtd136H"">linktr.ee/surgewomen</a>"
TEC,#FFCC00,32,tecmns,https://pbs.twimg.com/profile_images/1359180303332433923/J1XNdjPW_normal.png,"<strong>Token Engineering Commons</strong> | <a href=""https://twitter.com/tecmns"">@tecmns</a><p>The TEC is advancing the field of token engineering. Participate in our collaborative economy & decision making. 🌈 https://t.co/TrLSYwTAtG </p><a href=""https://t.co/VzNzZyGQp6"">tecommons.org</a>"
The Eden Dao,#02E2AC,37,theedendao,https://pbs.twimg.com/profile_images/1486138412155301888/x0Axrznt_normal.jpg,"<strong>Eden Dao (🌎, 🌍, 🌏) 🦇🔊</strong> | <a href=""https://twitter.com/TheEdenDao"">@TheEdenDao</a><p>We are creating the carbon coin that hyperscales carbon removal and creates wealth for generations to come. #DRMwithus 👇 </p><a href=""https://t.co/hNutw5jj2t"">drm.edendao.finance</a>"
Therapoid,#F3587D,2,opentherapeutic,https://pbs.twimg.com/profile_images/1333840579361378307/-rQ2dJPO_normal.jpg,"<strong>Open Therapeutics</strong> | <a href=""https://twitter.com/OpenTherapeutic"">@OpenTherapeutic</a><p>#Blockchain-based #OpenScience & #OpenAccess platform. Awards #ScienceCoins #cryptocurrency to researchers who collaborate. Free tools, services, and funding. </p><a href=""https://t.co/ZqFBnoszog"">OpenTherapeutics.net</a>"
Thirsty Thirsty,#4D82C1,11,thirstythirsty8,https://pbs.twimg.com/profile_images/1473381159635591168/2Q3XsoDQ_normal.jpg,"<strong>Thirsty Thirsty - Minting June 10</strong> | <a href=""https://twitter.com/thirstythirsty8"">@thirstythirsty8</a><p>A remembrance project disguised as the coolest food & wine club on Earth🍾 Regenerate Mother Earth deliciously. 888 VIP #web3 Membership & Fine #wine #NFTs. </p><a href=""https://t.co/dzaNoiYiAg"">linktr.ee/thirstythirsty</a>"
Tip Party,#FFCC00,13,moonshotcollect,https://pbs.twimg.com/profile_images/1471546323317010440/q2X940i4_normal.jpg,"<strong>Moonshot Collective</strong> | <a href=""https://twitter.com/MoonshotCollect"">@MoonshotCollect</a><p>We are the prototyping Workstream and Builder Community @GitcoinDAO. </p>"
Toucan,#02E2AC,64,toucanprotocol,https://pbs.twimg.com/profile_images/1532273103983857665/tKcldLWM_normal.jpg,"<strong>Toucan Protocol</strong> | <a href=""https://twitter.com/ToucanProtocol"">@ToucanProtocol</a><p>We build infrastructure for carbon markets to finance the world's best climate crisis solutions.<br><br>#DeFi #ReFi #Web3<br><br>Discord & Office Hour: https://t.co/ckDnFCU9HV </p><a href=""https://t.co/eNpvRxLViF"">toucan.earth</a>"
Treejer,#02E2AC,21,treejertalks,https://pbs.twimg.com/profile_images/1516128881824215042/vWGNL1Ut_normal.jpg,"<strong>Treejer (🛖🌳🛖)</strong> | <a href=""https://twitter.com/TreejerTalks"">@TreejerTalks</a><p>Connecting Funders to Rural Tree Planters Worldwide | Genesis Mint is live! | https://t.co/p13aquaxaI </p><a href=""https://t.co/fgHJPgA7G8"">treejer.com/genesis</a>"
