Twitter URL,Project Name,Twitter Handle
https://twitter.com/gainforestnow,Gain Forest,gainforestnow
https://twitter.com/gardensdao,1Hive Gardens,gardensdao
https://twitter.com/genomesio,GenomesDAO,genomesio
https://twitter.com/gitcoin,GitcoinDAO,gitcoin
https://twitter.com/gitcoindao,Gitcoin,gitcoindao
https://twitter.com/givecrypto,Give Crypto,givecrypto
https://twitter.com/givesafely,Give Safely,givesafely
https://twitter.com/givethio,Giveth,givethio
https://twitter.com/globalunityorg,Global Unity,globalunityorg
https://twitter.com/goldfinch_fi,Goldfinch,goldfinch_fi
https://twitter.com/grassecon,Grassroots Economics,grassecon
https://twitter.com/greenclimatedao,GreenClimateDAO,greenclimatedao
https://twitter.com/gruendao,GrüenDAO,gruendao
https://twitter.com/haonearth,Haon Earth ,haonearth
https://twitter.com/humandao,HumanDAO,humandao
https://twitter.com/impact_xyz,Impact,impact_xyz
https://twitter.com/ipctmarket,impactMarket,ipctmarket
https://twitter.com/ixoworld,ixo,ixoworld
https://twitter.com/jessezondervan,Planetary Resilience DAO,jessezondervan
https://twitter.com/katalystearth,katalyst.earth,katalystearth
https://twitter.com/kernel0x,Kernel,kernel0x
https://twitter.com/kleros_io,Kleros,kleros_io
https://twitter.com/klimadao,KlimaDAO,klimadao
https://twitter.com/kokonutnetwork,Kokonut Network,kokonutnetwork
https://twitter.com/kolektivo,Kolektivo,kolektivo
https://twitter.com/kumo_dao,Kumo Earth,kumo_dao
https://twitter.com/lab_dao,LabDAO,lab_dao
https://twitter.com/leylinenp,Leyline,leylinenp
https://twitter.com/loa_labs,LOA Labs,loa_labs
https://twitter.com/lonelyrocksdao,Lonely Rocks,lonelyrocksdao
https://twitter.com/longtailfintech,Longtail Financial,longtailfintech
https://twitter.com/lynx_technology,Lynx,lynx_technology
https://twitter.com/mcsocialventure,Mercy Corps Ventures FinX,mcsocialventure
https://twitter.com/mentholprotocol,Menthol Protocol,mentholprotocol
https://twitter.com/metagammadelta,Meta Gamma Delta DAO ,metagammadelta
https://twitter.com/mitcoinprotocol,MITCoin,mitcoinprotocol
https://twitter.com/molecule_dao,Molecule,molecule_dao
https://twitter.com/molecule_to,Molecule,molecule_to
https://twitter.com/montaialife,Montaia,montaialife
https://twitter.com/moonshotcollect,Tip Party,moonshotcollect
https://twitter.com/nativesintech,Natives in Tech,nativesintech
https://twitter.com/nectarprotocol,Nectar Protocol,nectarprotocol
https://twitter.com/newatlantis,New Atlantis,newatlantis
https://twitter.com/nftreehaus,NFTree Haus,nftreehaus
https://twitter.com/nori,Nori,nori
https://twitter.com/oakcurrency,OAK,oakcurrency
https://twitter.com/oceandao_,OCEAN Protocol,oceandao_
https://twitter.com/om_proof,Proof of Meditation ,om_proof
https://twitter.com/open__earth,Open Earth Foundation,open__earth
https://twitter.com/openaccessdao,OpenAccessDAO,openaccessdao
https://twitter.com/openforest_,Open Forest Protocol ,openforest_
https://twitter.com/opentherapeutic,Therapoid,opentherapeutic
https://twitter.com/opscientia,OpSci,opscientia
https://twitter.com/ourbloomnetwork,Bloom Network,ourbloomnetwork
https://twitter.com/ourfuturefdn,Future Foundation,ourfuturefdn
https://twitter.com/pactdao,PactDAO,pactdao
https://twitter.com/panvalahq,Panvala,panvalahq
https://twitter.com/paradigmstates,ParadigmStates+,paradigmstates
https://twitter.com/parcelhq,Parcel.money,parcelhq
https://twitter.com/pizza_dao,PizzaDAO,pizza_dao
https://twitter.com/popcorn_dao,Popcorn Network,popcorn_dao
https://twitter.com/pozzleplanet,Pozzle Planet,pozzleplanet
https://twitter.com/pr1s0nart,PR1S0N Art,pr1s0nart
https://twitter.com/primedao_,PrimeDAO,primedao_
https://twitter.com/proof_integrity,Proof of Integrity,proof_integrity
https://twitter.com/proofgood,Proof of Good,proofgood
https://twitter.com/proofofhumanity,Proof of Humanity,proofofhumanity
https://twitter.com/protein,Protein Community,protein
https://twitter.com/psydao_,PsyDAO,psydao_
https://twitter.com/publicgood_s,Public Good School,publicgood_s
https://twitter.com/refidaoist,ReFi DAO,refidaoist
https://twitter.com/regen_network,Regen Network,regen_network
https://twitter.com/returnprotocol,Return Protocol,returnprotocol
https://twitter.com/ribondao,Ribon,ribondao
https://twitter.com/rightsdao,HumanRightsDAO,rightsdao
https://twitter.com/RnDAO__,RnDAO,RnDAO__
https://twitter.com/senken_io,senken,senken_io
https://twitter.com/shapeshift_io,ShapeShift DAO,shapeshift_io
https://twitter.com/she_256,she256,she_256
https://twitter.com/solarpunkdao,Earthcoin,solarpunkdao
https://twitter.com/solcardorg,SolidarityCard,solcardorg
https://twitter.com/solidworlddao,Solid World DAO,solidworlddao
https://twitter.com/sovereignnature,Sovereign Nature Initiative,sovereignnature
https://twitter.com/spark_eco,Spark Eco,spark_eco
https://twitter.com/sproutupapp,SproutUp,sproutupapp
https://twitter.com/staydao,STAY OPEN + stayDAO,staydao
https://twitter.com/storcswap,Storc,storcswap
https://twitter.com/superbenefitdao,SuperBenefit,superbenefitdao
https://twitter.com/surge_women,Surge Women,surge_women
https://twitter.com/tecmns,TEC,tecmns
https://twitter.com/the_peopledao,PeopleDAO,the_peopledao
https://twitter.com/theagidao,the AGI DAO,theagidao
https://twitter.com/theedendao,The Eden Dao,theedendao
https://twitter.com/thegeoweb,Geo Web,thegeoweb
https://twitter.com/thegivingblock,Giving Block,thegivingblock
https://twitter.com/theheliosdao,HeliosDAO,theheliosdao
https://twitter.com/thelabordao,LaborDAO,thelabordao
https://twitter.com/thirstythirsty8,Thirsty Thirsty,thirstythirsty8
https://twitter.com/toucanprotocol,Toucan,toucanprotocol
https://twitter.com/treejertalks,Treejer,treejertalks
https://twitter.com/trysocialstack,Socialstack,trysocialstack
https://twitter.com/ultrasoundmerch,UltraSound Merch Supply Chain,ultrasoundmerch
https://twitter.com/unicefinnovate,UNICEF CryptoFund,unicefinnovate
https://twitter.com/vita_dao,VitaDAO,vita_dao
https://twitter.com/voizdao,voizdao,voizdao
https://twitter.com/wearemoonjelly,MOONJELLY,wearemoonjelly
https://twitter.com/weareprojectark,Project Ark,weareprojectark
https://twitter.com/web3coalition,Web3 Music Metadata Standards Coalition,web3coalition
https://twitter.com/wellnessdao,WellnessDAO,wellnessdao
https://twitter.com/worldcoin,Worldcoin,worldcoin
